customer_id,billing_month,plan,mrr
3,2026-03-01,Basic,9.99
3,2026-04-01,Basic,9.99
3,2026-05-01,Basic,9.99
3,2026-06-01,Basic,9.99
4,2024-08-01,Plus,19.99
4,2024-09-01,Plus,19.99
4,2024-10-01,Plus,19.99
4,2024-11-01,Plus,19.99
4,2024-12-01,Plus,19.99
4,2025-01-01,Plus,19.99
4,2025-02-01,Plus,19.99
4,2025-03-01,Plus,19.99
4,2025-04-01,Plus,19.99
4,2025-05-01,Plus,19.99
4,2025-06-01,Plus,19.99
4,2025-07-01,Plus,19.99
4,2025-08-01,Plus,19.99
4,2025-09-01,Plus,19.99
4,2025-10-01,Plus,19.99
4,2025-11-01,Plus,19.99
4,2025-12-01,Plus,19.99
4,2026-01-01,Plus,19.99
4,2026-02-01,Plus,19.99
4,2026-03-01,Plus,19.99
5,2024-07-01,Basic,9.99
5,2024-08-01,Basic,9.99
5,2024-09-01,Basic,9.99
5,2024-10-01,Basic,9.99
5,2024-11-01,Basic,9.99
5,2024-12-01,Basic,9.99
5,2025-01-01,Basic,9.99
5,2025-02-01,Basic,9.99
5,2025-03-01,Basic,9.99
5,2025-04-01,Basic,9.99
5,2025-05-01,Basic,9.99
5,2025-06-01,Basic,9.99
5,2025-07-01,Basic,9.99
5,2025-08-01,Basic,9.99
6,2024-10-01,Plus,19.99
6,2024-11-01,Plus,19.99
6,2024-12-01,Plus,19.99
6,2025-01-01,Plus,19.99
6,2025-02-01,Plus,19.99
6,2025-03-01,Plus,19.99
6,2025-04-01,Plus,19.99
6,2025-05-01,Plus,19.99
6,2025-06-01,Plus,19.99
6,2025-07-01,Plus,19.99
6,2025-08-01,Plus,19.99
6,2025-09-01,Plus,19.99
6,2025-10-01,Plus,19.99
6,2025-11-01,Plus,19.99
6,2025-12-01,Plus,19.99
6,2026-01-01,Plus,19.99
6,2026-02-01,Plus,19.99
6,2026-03-01,Plus,19.99
7,2024-06-01,Basic,9.99
8,2024-09-01,Plus,19.99
8,2024-10-01,Plus,19.99
8,2024-11-01,Plus,19.99
8,2024-12-01,Plus,19.99
8,2025-01-01,Plus,19.99
8,2025-02-01,Plus,19.99
8,2025-03-01,Plus,19.99
9,2025-08-01,Pro,39.99
9,2025-09-01,Pro,39.99
9,2025-10-01,Pro,39.99
9,2025-11-01,Pro,39.99
9,2025-12-01,Pro,39.99
9,2026-01-01,Pro,39.99
9,2026-02-01,Pro,39.99
9,2026-03-01,Pro,39.99
9,2026-04-01,Pro,39.99
9,2026-05-01,Pro,39.99
9,2026-06-01,Pro,39.99
10,2025-01-01,Basic,9.99
10,2025-02-01,Basic,9.99
10,2025-03-01,Basic,9.99
10,2025-04-01,Basic,9.99
10,2025-05-01,Basic,9.99
10,2025-06-01,Basic,9.99
10,2025-07-01,Basic,9.99
10,2025-08-01,Basic,9.99
10,2025-09-01,Basic,9.99
10,2025-10-01,Basic,9.99
10,2025-11-01,Basic,9.99
10,2025-12-01,Basic,9.99
10,2026-01-01,Basic,9.99
10,2026-02-01,Basic,9.99
10,2026-03-01,Basic,9.99
10,2026-04-01,Basic,9.99
10,2026-05-01,Basic,9.99
10,2026-06-01,Basic,9.99
11,2024-05-01,Plus,19.99
11,2024-06-01,Plus,19.99
11,2024-07-01,Plus,19.99
11,2024-08-01,Plus,19.99
11,2024-09-01,Plus,19.99
11,2024-10-01,Plus,19.99
11,2024-11-01,Plus,19.99
11,2024-12-01,Plus,19.99
11,2025-01-01,Plus,19.99
11,2025-02-01,Plus,19.99
11,2025-03-01,Plus,19.99
11,2025-04-01,Plus,19.99
11,2025-05-01,Plus,19.99
11,2025-06-01,Plus,19.99
11,2025-07-01,Plus,19.99
11,2025-08-01,Plus,19.99
11,2025-09-01,Plus,19.99
11,2025-10-01,Plus,19.99
11,2025-11-01,Plus,19.99
11,2025-12-01,Plus,19.99
11,2026-01-01,Plus,19.99
11,2026-02-01,Plus,19.99
11,2026-03-01,Plus,19.99
11,2026-04-01,Plus,19.99
11,2026-05-01,Plus,19.99
11,2026-06-01,Plus,19.99
12,2024-11-01,Basic,9.99
12,2024-12-01,Basic,9.99
12,2025-01-01,Basic,9.99
12,2025-02-01,Basic,9.99
12,2025-03-01,Basic,9.99
12,2025-04-01,Basic,9.99
12,2025-05-01,Basic,9.99
12,2025-06-01,Basic,9.99
12,2025-07-01,Basic,9.99
12,2025-08-01,Basic,9.99
12,2025-09-01,Basic,9.99
12,2025-10-01,Basic,9.99
12,2025-11-01,Basic,9.99
12,2025-12-01,Basic,9.99
12,2026-01-01,Basic,9.99
12,2026-02-01,Basic,9.99
12,2026-03-01,Basic,9.99
12,2026-04-01,Basic,9.99
12,2026-05-01,Basic,9.99
12,2026-06-01,Basic,9.99
13,2024-03-01,Plus,19.99
13,2024-04-01,Plus,19.99
13,2024-05-01,Plus,19.99
13,2024-06-01,Plus,19.99
13,2024-07-01,Plus,19.99
13,2024-08-01,Plus,19.99
13,2024-09-01,Plus,19.99
13,2024-10-01,Plus,19.99
13,2024-11-01,Plus,19.99
13,2024-12-01,Plus,19.99
13,2025-01-01,Plus,19.99
13,2025-02-01,Plus,19.99
13,2025-03-01,Plus,19.99
13,2025-04-01,Plus,19.99
13,2025-05-01,Plus,19.99
13,2025-06-01,Plus,19.99
13,2025-07-01,Plus,19.99
13,2025-08-01,Plus,19.99
13,2025-09-01,Plus,19.99
13,2025-10-01,Plus,19.99
13,2025-11-01,Plus,19.99
13,2025-12-01,Plus,19.99
13,2026-01-01,Plus,19.99
13,2026-02-01,Plus,19.99
13,2026-03-01,Plus,19.99
13,2026-04-01,Plus,19.99
13,2026-05-01,Plus,19.99
13,2026-06-01,Plus,19.99
14,2024-07-01,Basic,9.99
14,2024-08-01,Basic,9.99
14,2024-09-01,Basic,9.99
14,2024-10-01,Basic,9.99
14,2024-11-01,Basic,9.99
14,2024-12-01,Basic,9.99
14,2025-01-01,Basic,9.99
15,2026-05-01,Basic,9.99
15,2026-06-01,Basic,9.99
16,2024-03-01,Basic,9.99
16,2024-04-01,Basic,9.99
16,2024-05-01,Basic,9.99
17,2026-05-01,Basic,9.99
17,2026-06-01,Basic,9.99
18,2024-04-01,Plus,19.99
18,2024-05-01,Plus,19.99
19,2026-05-01,Basic,9.99
19,2026-06-01,Basic,9.99
20,2026-01-01,Plus,19.99
20,2026-02-01,Plus,19.99
20,2026-03-01,Plus,19.99
20,2026-04-01,Plus,19.99
20,2026-05-01,Plus,19.99
20,2026-06-01,Plus,19.99
21,2024-03-01,Basic,9.99
21,2024-04-01,Basic,9.99
21,2024-05-01,Basic,9.99
21,2024-06-01,Basic,9.99
21,2024-07-01,Basic,9.99
21,2024-08-01,Basic,9.99
21,2024-09-01,Basic,9.99
21,2024-10-01,Basic,9.99
21,2024-11-01,Basic,9.99
21,2024-12-01,Basic,9.99
21,2025-01-01,Basic,9.99
21,2025-02-01,Basic,9.99
21,2025-03-01,Basic,9.99
21,2025-04-01,Basic,9.99
21,2025-05-01,Basic,9.99
21,2025-06-01,Basic,9.99
21,2025-07-01,Basic,9.99
21,2025-08-01,Basic,9.99
21,2025-09-01,Basic,9.99
22,2025-01-01,Basic,9.99
22,2025-02-01,Basic,9.99
22,2025-03-01,Basic,9.99
22,2025-04-01,Basic,9.99
22,2025-05-01,Basic,9.99
22,2025-06-01,Basic,9.99
22,2025-07-01,Basic,9.99
22,2025-08-01,Basic,9.99
22,2025-09-01,Basic,9.99
22,2025-10-01,Basic,9.99
22,2025-11-01,Basic,9.99
22,2025-12-01,Basic,9.99
23,2024-09-01,Plus,19.99
23,2024-10-01,Plus,19.99
23,2024-11-01,Plus,19.99
23,2024-12-01,Plus,19.99
23,2025-01-01,Plus,19.99
23,2025-02-01,Plus,19.99
23,2025-03-01,Plus,19.99
23,2025-04-01,Plus,19.99
23,2025-05-01,Plus,19.99
23,2025-06-01,Plus,19.99
23,2025-07-01,Plus,19.99
23,2025-08-01,Plus,19.99
23,2025-09-01,Plus,19.99
23,2025-10-01,Plus,19.99
23,2025-11-01,Plus,19.99
23,2025-12-01,Plus,19.99
23,2026-01-01,Plus,19.99
23,2026-02-01,Plus,19.99
23,2026-03-01,Plus,19.99
24,2024-08-01,Basic,9.99
24,2024-09-01,Basic,9.99
24,2024-10-01,Basic,9.99
24,2024-11-01,Basic,9.99
24,2024-12-01,Basic,9.99
24,2025-01-01,Basic,9.99
24,2025-02-01,Basic,9.99
24,2025-03-01,Basic,9.99
24,2025-04-01,Basic,9.99
24,2025-05-01,Basic,9.99
24,2025-06-01,Basic,9.99
24,2025-07-01,Basic,9.99
24,2025-08-01,Basic,9.99
24,2025-09-01,Basic,9.99
24,2025-10-01,Basic,9.99
24,2025-11-01,Basic,9.99
24,2025-12-01,Basic,9.99
24,2026-01-01,Basic,9.99
24,2026-02-01,Basic,9.99
24,2026-03-01,Basic,9.99
24,2026-04-01,Basic,9.99
24,2026-05-01,Basic,9.99
24,2026-06-01,Basic,9.99
25,2026-01-01,Plus,19.99
25,2026-02-01,Plus,19.99
25,2026-03-01,Plus,19.99
25,2026-04-01,Plus,19.99
25,2026-05-01,Plus,19.99
25,2026-06-01,Plus,19.99
26,2025-10-01,Basic,9.99
26,2025-11-01,Basic,9.99
26,2025-12-01,Basic,9.99
26,2026-01-01,Basic,9.99
26,2026-02-01,Basic,9.99
26,2026-03-01,Basic,9.99
26,2026-04-01,Basic,9.99
26,2026-05-01,Basic,9.99
26,2026-06-01,Basic,9.99
27,2025-01-01,Basic,9.99
27,2025-02-01,Basic,9.99
27,2025-03-01,Basic,9.99
27,2025-04-01,Basic,9.99
27,2025-05-01,Basic,9.99
27,2025-06-01,Basic,9.99
27,2025-07-01,Basic,9.99
27,2025-08-01,Basic,9.99
27,2025-09-01,Basic,9.99
27,2025-10-01,Basic,9.99
27,2025-11-01,Basic,9.99
27,2025-12-01,Basic,9.99
27,2026-01-01,Basic,9.99
27,2026-02-01,Basic,9.99
27,2026-03-01,Basic,9.99
27,2026-04-01,Basic,9.99
27,2026-05-01,Basic,9.99
27,2026-06-01,Basic,9.99
28,2024-05-01,Basic,9.99
28,2024-06-01,Basic,9.99
28,2024-07-01,Basic,9.99
28,2024-08-01,Basic,9.99
28,2024-09-01,Basic,9.99
28,2024-10-01,Basic,9.99
28,2024-11-01,Basic,9.99
28,2024-12-01,Basic,9.99
28,2025-01-01,Basic,9.99
28,2025-02-01,Basic,9.99
28,2025-03-01,Basic,9.99
28,2025-04-01,Basic,9.99
28,2025-05-01,Basic,9.99
28,2025-06-01,Basic,9.99
28,2025-07-01,Basic,9.99
28,2025-08-01,Basic,9.99
28,2025-09-01,Basic,9.99
28,2025-10-01,Basic,9.99
28,2025-11-01,Basic,9.99
28,2025-12-01,Basic,9.99
28,2026-01-01,Basic,9.99
28,2026-02-01,Basic,9.99
28,2026-03-01,Basic,9.99
28,2026-04-01,Basic,9.99
28,2026-05-01,Basic,9.99
28,2026-06-01,Basic,9.99
29,2024-09-01,Basic,9.99
29,2024-10-01,Basic,9.99
29,2024-11-01,Basic,9.99
29,2024-12-01,Basic,9.99
29,2025-01-01,Basic,9.99
29,2025-02-01,Basic,9.99
29,2025-03-01,Basic,9.99
29,2025-04-01,Basic,9.99
29,2025-05-01,Basic,9.99
30,2024-03-01,Basic,9.99
30,2024-04-01,Basic,9.99
30,2024-05-01,Basic,9.99
30,2024-06-01,Basic,9.99
30,2024-07-01,Basic,9.99
30,2024-08-01,Basic,9.99
30,2024-09-01,Basic,9.99
30,2024-10-01,Basic,9.99
30,2024-11-01,Basic,9.99
30,2024-12-01,Basic,9.99
30,2025-01-01,Basic,9.99
30,2025-02-01,Basic,9.99
30,2025-03-01,Basic,9.99
30,2025-04-01,Basic,9.99
30,2025-05-01,Basic,9.99
30,2025-06-01,Basic,9.99
30,2025-07-01,Basic,9.99
30,2025-08-01,Basic,9.99
30,2025-09-01,Basic,9.99
30,2025-10-01,Basic,9.99
30,2025-11-01,Basic,9.99
30,2025-12-01,Basic,9.99
30,2026-01-01,Basic,9.99
30,2026-02-01,Basic,9.99
31,2025-11-01,Basic,9.99
31,2025-12-01,Basic,9.99
31,2026-01-01,Basic,9.99
32,2024-06-01,Basic,9.99
32,2024-07-01,Basic,9.99
32,2024-08-01,Basic,9.99
32,2024-09-01,Basic,9.99
32,2024-10-01,Basic,9.99
32,2024-11-01,Basic,9.99
32,2024-12-01,Basic,9.99
32,2025-01-01,Basic,9.99
32,2025-02-01,Basic,9.99
33,2026-05-01,Pro,39.99
33,2026-06-01,Pro,39.99
34,2025-01-01,Pro,39.99
34,2025-02-01,Pro,39.99
34,2025-03-01,Pro,39.99
34,2025-04-01,Pro,39.99
34,2025-05-01,Pro,39.99
34,2025-06-01,Pro,39.99
34,2025-07-01,Pro,39.99
34,2025-08-01,Pro,39.99
34,2025-09-01,Pro,39.99
34,2025-10-01,Pro,39.99
34,2025-11-01,Pro,39.99
34,2025-12-01,Pro,39.99
34,2026-01-01,Pro,39.99
34,2026-02-01,Pro,39.99
34,2026-03-01,Pro,39.99
34,2026-04-01,Pro,39.99
34,2026-05-01,Pro,39.99
34,2026-06-01,Pro,39.99
36,2024-03-01,Basic,9.99
36,2024-04-01,Basic,9.99
36,2024-05-01,Basic,9.99
36,2024-06-01,Basic,9.99
36,2024-07-01,Basic,9.99
36,2024-08-01,Basic,9.99
37,2024-02-01,Basic,9.99
37,2024-03-01,Basic,9.99
37,2024-04-01,Basic,9.99
37,2024-05-01,Basic,9.99
37,2024-06-01,Basic,9.99
37,2024-07-01,Basic,9.99
37,2024-08-01,Basic,9.99
37,2024-09-01,Basic,9.99
37,2024-10-01,Basic,9.99
37,2024-11-01,Basic,9.99
37,2024-12-01,Basic,9.99
37,2025-01-01,Basic,9.99
37,2025-02-01,Basic,9.99
37,2025-03-01,Basic,9.99
37,2025-04-01,Basic,9.99
37,2025-05-01,Basic,9.99
37,2025-06-01,Basic,9.99
37,2025-07-01,Basic,9.99
37,2025-08-01,Basic,9.99
37,2025-09-01,Basic,9.99
37,2025-10-01,Basic,9.99
37,2025-11-01,Basic,9.99
37,2025-12-01,Basic,9.99
37,2026-01-01,Basic,9.99
37,2026-02-01,Basic,9.99
37,2026-03-01,Basic,9.99
37,2026-04-01,Basic,9.99
37,2026-05-01,Basic,9.99
37,2026-06-01,Basic,9.99
38,2024-08-01,Plus,19.99
38,2024-09-01,Plus,19.99
38,2024-10-01,Plus,19.99
38,2024-11-01,Plus,19.99
38,2024-12-01,Plus,19.99
38,2025-01-01,Plus,19.99
38,2025-02-01,Plus,19.99
38,2025-03-01,Plus,19.99
38,2025-04-01,Plus,19.99
38,2025-05-01,Plus,19.99
38,2025-06-01,Plus,19.99
38,2025-07-01,Plus,19.99
38,2025-08-01,Plus,19.99
38,2025-09-01,Plus,19.99
39,2024-09-01,Basic,9.99
39,2024-10-01,Basic,9.99
39,2024-11-01,Basic,9.99
39,2024-12-01,Basic,9.99
39,2025-01-01,Basic,9.99
39,2025-02-01,Basic,9.99
39,2025-03-01,Basic,9.99
40,2025-07-01,Basic,9.99
40,2025-08-01,Basic,9.99
40,2025-09-01,Basic,9.99
40,2025-10-01,Basic,9.99
40,2025-11-01,Basic,9.99
40,2025-12-01,Basic,9.99
40,2026-01-01,Basic,9.99
40,2026-02-01,Basic,9.99
41,2024-06-01,Plus,19.99
41,2024-07-01,Plus,19.99
41,2024-08-01,Plus,19.99
41,2024-09-01,Plus,19.99
41,2024-10-01,Plus,19.99
41,2024-11-01,Plus,19.99
41,2024-12-01,Plus,19.99
41,2025-01-01,Plus,19.99
41,2025-02-01,Plus,19.99
41,2025-03-01,Plus,19.99
41,2025-04-01,Plus,19.99
41,2025-05-01,Plus,19.99
41,2025-06-01,Plus,19.99
41,2025-07-01,Plus,19.99
41,2025-08-01,Plus,19.99
41,2025-09-01,Plus,19.99
41,2025-10-01,Plus,19.99
41,2025-11-01,Plus,19.99
41,2025-12-01,Plus,19.99
41,2026-01-01,Plus,19.99
41,2026-02-01,Plus,19.99
41,2026-03-01,Plus,19.99
42,2026-05-01,Plus,19.99
42,2026-06-01,Plus,19.99
43,2024-02-01,Basic,9.99
43,2024-03-01,Basic,9.99
43,2024-04-01,Basic,9.99
43,2024-05-01,Basic,9.99
43,2024-06-01,Basic,9.99
43,2024-07-01,Basic,9.99
43,2024-08-01,Basic,9.99
43,2024-09-01,Basic,9.99
43,2024-10-01,Basic,9.99
43,2024-11-01,Basic,9.99
43,2024-12-01,Basic,9.99
43,2025-01-01,Basic,9.99
43,2025-02-01,Basic,9.99
43,2025-03-01,Basic,9.99
43,2025-04-01,Basic,9.99
43,2025-05-01,Basic,9.99
43,2025-06-01,Basic,9.99
43,2025-07-01,Basic,9.99
43,2025-08-01,Basic,9.99
43,2025-09-01,Basic,9.99
43,2025-10-01,Basic,9.99
43,2025-11-01,Basic,9.99
43,2025-12-01,Basic,9.99
43,2026-01-01,Basic,9.99
43,2026-02-01,Basic,9.99
43,2026-03-01,Basic,9.99
43,2026-04-01,Basic,9.99
43,2026-05-01,Basic,9.99
43,2026-06-01,Basic,9.99
45,2024-12-01,Basic,9.99
45,2025-01-01,Basic,9.99
45,2025-02-01,Basic,9.99
45,2025-03-01,Basic,9.99
45,2025-04-01,Basic,9.99
45,2025-05-01,Basic,9.99
45,2025-06-01,Basic,9.99
45,2025-07-01,Basic,9.99
45,2025-08-01,Basic,9.99
45,2025-09-01,Basic,9.99
45,2025-10-01,Basic,9.99
45,2025-11-01,Basic,9.99
45,2025-12-01,Basic,9.99
45,2026-01-01,Basic,9.99
45,2026-02-01,Basic,9.99
45,2026-03-01,Basic,9.99
45,2026-04-01,Basic,9.99
45,2026-05-01,Basic,9.99
45,2026-06-01,Basic,9.99
46,2024-02-01,Pro,39.99
46,2024-03-01,Pro,39.99
46,2024-04-01,Pro,39.99
46,2024-05-01,Pro,39.99
46,2024-06-01,Pro,39.99
46,2024-07-01,Pro,39.99
46,2024-08-01,Pro,39.99
46,2024-09-01,Pro,39.99
46,2024-10-01,Pro,39.99
46,2024-11-01,Pro,39.99
46,2024-12-01,Pro,39.99
46,2025-01-01,Pro,39.99
46,2025-02-01,Pro,39.99
46,2025-03-01,Pro,39.99
46,2025-04-01,Pro,39.99
46,2025-05-01,Pro,39.99
46,2025-06-01,Pro,39.99
46,2025-07-01,Pro,39.99
46,2025-08-01,Pro,39.99
46,2025-09-01,Pro,39.99
46,2025-10-01,Pro,39.99
46,2025-11-01,Pro,39.99
46,2025-12-01,Pro,39.99
46,2026-01-01,Pro,39.99
46,2026-02-01,Pro,39.99
46,2026-03-01,Pro,39.99
46,2026-04-01,Pro,39.99
46,2026-05-01,Pro,39.99
46,2026-06-01,Pro,39.99
47,2024-06-01,Plus,19.99
47,2024-07-01,Plus,19.99
47,2024-08-01,Plus,19.99
47,2024-09-01,Plus,19.99
47,2024-10-01,Plus,19.99
47,2024-11-01,Plus,19.99
47,2024-12-01,Plus,19.99
47,2025-01-01,Plus,19.99
47,2025-02-01,Plus,19.99
47,2025-03-01,Plus,19.99
47,2025-04-01,Plus,19.99
47,2025-05-01,Plus,19.99
47,2025-06-01,Plus,19.99
47,2025-07-01,Plus,19.99
47,2025-08-01,Plus,19.99
47,2025-09-01,Plus,19.99
47,2025-10-01,Plus,19.99
47,2025-11-01,Plus,19.99
47,2025-12-01,Plus,19.99
47,2026-01-01,Plus,19.99
47,2026-02-01,Plus,19.99
47,2026-03-01,Plus,19.99
47,2026-04-01,Plus,19.99
47,2026-05-01,Plus,19.99
47,2026-06-01,Plus,19.99
48,2025-03-01,Pro,39.99
48,2025-04-01,Pro,39.99
48,2025-05-01,Pro,39.99
48,2025-06-01,Pro,39.99
48,2025-07-01,Pro,39.99
48,2025-08-01,Pro,39.99
48,2025-09-01,Pro,39.99
48,2025-10-01,Pro,39.99
48,2025-11-01,Pro,39.99
48,2025-12-01,Pro,39.99
48,2026-01-01,Pro,39.99
48,2026-02-01,Pro,39.99
48,2026-03-01,Pro,39.99
48,2026-04-01,Pro,39.99
48,2026-05-01,Pro,39.99
48,2026-06-01,Pro,39.99
49,2025-02-01,Basic,9.99
49,2025-03-01,Basic,9.99
49,2025-04-01,Basic,9.99
50,2024-12-01,Pro,39.99
50,2025-01-01,Pro,39.99
50,2025-02-01,Pro,39.99
50,2025-03-01,Pro,39.99
50,2025-04-01,Pro,39.99
50,2025-05-01,Pro,39.99
50,2025-06-01,Pro,39.99
50,2025-07-01,Pro,39.99
50,2025-08-01,Pro,39.99
51,2025-08-01,Plus,19.99
51,2025-09-01,Plus,19.99
51,2025-10-01,Plus,19.99
51,2025-11-01,Plus,19.99
51,2025-12-01,Plus,19.99
51,2026-01-01,Plus,19.99
51,2026-02-01,Plus,19.99
51,2026-03-01,Plus,19.99
51,2026-04-01,Plus,19.99
51,2026-05-01,Plus,19.99
51,2026-06-01,Plus,19.99
52,2025-08-01,Basic,9.99
52,2025-09-01,Basic,9.99
52,2025-10-01,Basic,9.99
52,2025-11-01,Basic,9.99
52,2025-12-01,Basic,9.99
52,2026-01-01,Basic,9.99
52,2026-02-01,Basic,9.99
52,2026-03-01,Basic,9.99
52,2026-04-01,Basic,9.99
52,2026-05-01,Basic,9.99
52,2026-06-01,Basic,9.99
53,2024-02-01,Plus,19.99
53,2024-03-01,Plus,19.99
53,2024-04-01,Plus,19.99
53,2024-05-01,Plus,19.99
53,2024-06-01,Plus,19.99
53,2024-07-01,Plus,19.99
53,2024-08-01,Plus,19.99
53,2024-09-01,Plus,19.99
53,2024-10-01,Plus,19.99
53,2024-11-01,Plus,19.99
53,2024-12-01,Plus,19.99
53,2025-01-01,Plus,19.99
53,2025-02-01,Plus,19.99
53,2025-03-01,Plus,19.99
53,2025-04-01,Plus,19.99
53,2025-05-01,Plus,19.99
53,2025-06-01,Plus,19.99
53,2025-07-01,Plus,19.99
53,2025-08-01,Plus,19.99
53,2025-09-01,Plus,19.99
53,2025-10-01,Plus,19.99
53,2025-11-01,Plus,19.99
53,2025-12-01,Plus,19.99
53,2026-01-01,Plus,19.99
53,2026-02-01,Plus,19.99
53,2026-03-01,Plus,19.99
53,2026-04-01,Plus,19.99
53,2026-05-01,Plus,19.99
53,2026-06-01,Plus,19.99
54,2024-07-01,Plus,19.99
54,2024-08-01,Plus,19.99
54,2024-09-01,Plus,19.99
54,2024-10-01,Plus,19.99
54,2024-11-01,Plus,19.99
54,2024-12-01,Plus,19.99
54,2025-01-01,Plus,19.99
54,2025-02-01,Plus,19.99
54,2025-03-01,Plus,19.99
54,2025-04-01,Plus,19.99
54,2025-05-01,Plus,19.99
54,2025-06-01,Plus,19.99
54,2025-07-01,Plus,19.99
54,2025-08-01,Plus,19.99
54,2025-09-01,Plus,19.99
54,2025-10-01,Plus,19.99
54,2025-11-01,Plus,19.99
54,2025-12-01,Plus,19.99
54,2026-01-01,Plus,19.99
54,2026-02-01,Plus,19.99
54,2026-03-01,Plus,19.99
54,2026-04-01,Plus,19.99
54,2026-05-01,Plus,19.99
54,2026-06-01,Plus,19.99
55,2025-01-01,Basic,9.99
55,2025-02-01,Basic,9.99
55,2025-03-01,Basic,9.99
55,2025-04-01,Basic,9.99
55,2025-05-01,Basic,9.99
55,2025-06-01,Basic,9.99
55,2025-07-01,Basic,9.99
55,2025-08-01,Basic,9.99
55,2025-09-01,Basic,9.99
55,2025-10-01,Basic,9.99
55,2025-11-01,Basic,9.99
55,2025-12-01,Basic,9.99
55,2026-01-01,Basic,9.99
55,2026-02-01,Basic,9.99
55,2026-03-01,Basic,9.99
55,2026-04-01,Basic,9.99
55,2026-05-01,Basic,9.99
55,2026-06-01,Basic,9.99
56,2024-05-01,Plus,19.99
56,2024-06-01,Plus,19.99
56,2024-07-01,Plus,19.99
56,2024-08-01,Plus,19.99
56,2024-09-01,Plus,19.99
56,2024-10-01,Plus,19.99
56,2024-11-01,Plus,19.99
56,2024-12-01,Plus,19.99
56,2025-01-01,Plus,19.99
56,2025-02-01,Plus,19.99
56,2025-03-01,Plus,19.99
56,2025-04-01,Plus,19.99
56,2025-05-01,Plus,19.99
56,2025-06-01,Plus,19.99
56,2025-07-01,Plus,19.99
56,2025-08-01,Plus,19.99
56,2025-09-01,Plus,19.99
56,2025-10-01,Plus,19.99
56,2025-11-01,Plus,19.99
56,2025-12-01,Plus,19.99
56,2026-01-01,Plus,19.99
56,2026-02-01,Plus,19.99
56,2026-03-01,Plus,19.99
56,2026-04-01,Plus,19.99
56,2026-05-01,Plus,19.99
56,2026-06-01,Plus,19.99
57,2025-04-01,Basic,9.99
57,2025-05-01,Basic,9.99
57,2025-06-01,Basic,9.99
57,2025-07-01,Basic,9.99
57,2025-08-01,Basic,9.99
57,2025-09-01,Basic,9.99
57,2025-10-01,Basic,9.99
57,2025-11-01,Basic,9.99
57,2025-12-01,Basic,9.99
57,2026-01-01,Basic,9.99
57,2026-02-01,Basic,9.99
57,2026-03-01,Basic,9.99
57,2026-04-01,Basic,9.99
57,2026-05-01,Basic,9.99
57,2026-06-01,Basic,9.99
58,2024-09-01,Plus,19.99
58,2024-10-01,Plus,19.99
58,2024-11-01,Plus,19.99
58,2024-12-01,Plus,19.99
58,2025-01-01,Plus,19.99
